model,split,mape,rmse
Prophet,test,1.1364068008635588,12.032971218379997

XGBoost,test,2.1971020895513242,21.900402788250258

LightGBM,test,2.4439134305661603,23.58093737050823

SARIMA,test,3.7493161610838412,37.07767843434645

SeasonalNaive,test,3.800652468067827,37.72434263704618


Prophet,val,0.9988851107230693,10.63835489774114

XGBoost,val,1.0541209647500553,11.336933156733608

LightGBM,val,1.1110413469197316,11.912855163677408

SeasonalNaive,val,3.9290586778307364,37.72942603646517

SARIMA,val,3.946020562993186,37.54785360541675
